text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"grinder malfunction caused a steel beam to drop, injuring the operator. The incident was reported by Harper Lewis. Rowan Pearson from the Security department was involved. Eye irritation from chemical fumes On 28 June 2025 at 21:21, an incident occurred at Dry Dock 2."
"Heat exhaustion from prolonged outdoor work The incident was reported by Sydney Graham. grinder malfunction caused electrical fire, injuring two workers. On 13 September 2024 at 21:15, an incident occurred at Electrical Bay. Jordan Holmes from the IT department was involved."
"On 10 September 2024 at 06:41, an incident occurred at Office - Admin Block. Fractured ankle due to fall from scaffolding Exposure to asbestos led to concussion. Avery Kennedy from the Environmental Services department was involved. The incident was reported by Jesse Clark."
"Chemical burn from solvent exposure On 14 January 2025 at 10:50, an incident occurred at Main Gate Security. Spencer Foster from the Customer Service department was involved. Worker fell from ladder while welding, resulting in burns. The incident was reported by Emerson Mitchell."
"Smoke inhalation from fire in electrical bay The incident was reported by Elliot Payne. Kai Lewis from the Finance department was involved. On 10 November 2024 at 07:51, an incident occurred at Reception Area. Worker fell from scaffolding while painting, resulting in burns."
"The incident was reported by Morgan Bailey. forklift malfunction caused a fuel leak, injuring the operator. Reese Lee from the Dockyard Operations department was involved. On 19 May 2025 at 17:45, an incident occurred at Dry Dock 1. Eye irritation from chemical fumes"
"The incident was reported by Alex Robinson. Exposure to high-voltage wiring led to concussion. Finley Foster from the Fleet Management department was involved. On 08 February 2024 at 20:47, an incident occurred at Dockyard North. Smoke inhalation from fire in electrical bay"
"Worker fell from scaffolding while repairing the hull, resulting in burns. On 29 April 2024 at 04:20, an incident occurred at Reception Area. Smoke inhalation from fire in electrical bay Emerson Kennedy from the Engineering department was involved. The incident was reported by Drew Clark."
"Kai Foster from the Operations department was involved. Exposure to toxic fumes led to burns. The incident was reported by Rowan West. Fractured wrist from fall on wet surface On 13 July 2025 at 01:10, an incident occurred at Paint Shop."
"Peyton West from the Health & Safety department was involved. Exposure to toxic fumes led to concussion. The incident was reported by Chris Murray. Compressed air injury during maintenance On 25 May 2025 at 19:48, an incident occurred at Dockyard North."
"The incident was reported by Frankie Pearson. Exposure to high-voltage wiring led to a fractured leg. Crush injury to hand from hydraulic press Charlie Reed from the IT department was involved. On 13 January 2024 at 07:42, an incident occurred at Dockyard North."
"Foreign object in eye from grinding debris Exposure to asbestos led to concussion. On 15 December 2024 at 09:40, an incident occurred at Dockyard North. Frankie Smith from the Communications department was involved. The incident was reported by Alex Lee."
"Worker fell from ship deck while welding, resulting in burns. On 11 March 2024 at 15:38, an incident occurred at Paint Shop. The incident was reported by Jordan Clark. Elliot Payne from the HR department was involved. Hearing damage from loud machinery"
"The incident was reported by Quinn Mitchell. Eye irritation from chemical fumes On 13 December 2024 at 13:32, an incident occurred at Warehouse B. Worker fell from ship deck while painting, resulting in a fractured leg. Reese Bailey from the Engineering department was involved."
"Burn from hot welding equipment On 26 September 2024 at 01:52, an incident occurred at Main Gate Security. Avery West from the Operations department was involved. Exposure to asbestos led to a fractured leg. The incident was reported by Sawyer Robinson."
"The incident was reported by Dakota Bailey. Worker fell from ship deck while welding, resulting in a fractured leg. Charlie Reed from the Operations department was involved. On 27 March 2025 at 01:38, an incident occurred at Dockyard North. Smoke inhalation from fire in electrical bay"
"Concussion from falling object On 14 April 2025 at 12:27, an incident occurred at Electrical Bay. Casey Payne from the Engineering department was involved. The incident was reported by Finley Murray. Exposure to high-voltage wiring led to a fractured leg."
"Concussion from falling object On 05 August 2024 at 11:42, an incident occurred at Reception Area. The incident was reported by Reese Morgan. Chris Holmes from the HR department was involved. crane malfunction caused a fuel leak, injuring a contractor."
"grinder malfunction caused a fuel leak, injuring a contractor. The incident was reported by Casey Graham. On 13 December 2024 at 05:47, an incident occurred at Shipyard Pier. Quinn Walker from the IT department was involved. Heat exhaustion from prolonged outdoor work"
"On 05 April 2024 at 03:51, an incident occurred at Dry Dock 2. Jamie Lewis from the Communications department was involved. Foreign object in eye from grinding debris Worker fell from ladder while welding, resulting in concussion. The incident was reported by Alex Payne."
"On 11 October 2024 at 23:56, an incident occurred at Maintenance Shed. Eye irritation from chemical fumes Worker fell from ship deck while repairing the hull, resulting in a fractured leg. Sawyer Parker from the IT department was involved. The incident was reported by Kai Reed."
"The incident was reported by Spencer Lee. On 08 December 2024 at 11:54, an incident occurred at Reception Area. Dislocated shoulder during equipment maintenance Rowan Murphy from the Warehouse department was involved. Exposure to high-voltage wiring led to concussion."
"Rowan Lee from the Communications department was involved. Fractured ankle due to fall from scaffolding On 09 January 2024 at 07:17, an incident occurred at Dockyard North. The incident was reported by Skyler Cooper. Exposure to high-voltage wiring led to burns."
"On 19 February 2025 at 15:53, an incident occurred at Tool Crib. Laceration from sharp metal panel The incident was reported by Spencer West. Worker fell from scaffolding while welding, resulting in a fractured leg. Blake Lee from the IT department was involved."
"The incident was reported by Quinn Mitchell. forklift malfunction caused a steel beam to drop, injuring a contractor. Dakota Smith from the Research & Development department was involved. Puncture wound from misplaced tool On 06 May 2025 at 04:10, an incident occurred at Dry Dock 1."
"The incident was reported by Drew Hughes. Exposure to high-voltage wiring led to concussion. On 14 April 2024 at 21:45, an incident occurred at Fleet Garage. Kai Sullivan from the IT department was involved. Hearing damage from loud machinery"
"The incident was reported by Quinn Bailey. grinder malfunction caused a steel beam to drop, injuring a contractor. Cameron Reed from the Security department was involved. On 10 July 2024 at 15:44, an incident occurred at Warehouse A. Severe abrasion from slip on deck"
"Logan Murray from the Operations department was involved. The incident was reported by Drew Pearson. On 29 July 2024 at 10:53, an incident occurred at Cafeteria. grinder malfunction caused a steel beam to drop, injuring a contractor. Foreign object in eye from grinding debris"
"On 07 June 2025 at 22:48, an incident occurred at Dry Dock 1. Casey Clark from the Finance department was involved. Concussion from falling object forklift malfunction caused a fuel leak, injuring two workers. The incident was reported by Alex Pearson."
"Exposure to toxic fumes led to a fractured leg. The incident was reported by Reese Pearson. Concussion from falling object Emerson Murphy from the Security department was involved. On 28 September 2024 at 00:57, an incident occurred at Maintenance Shed."
"crane malfunction caused a fuel leak, injuring a contractor. On 23 August 2024 at 10:25, an incident occurred at Paint Shop. Jamie Bennett from the Dockyard Operations department was involved. The incident was reported by Charlie Walker. Fractured wrist from fall on wet surface"
"The incident was reported by Jamie Brown. Morgan Sullivan from the Research & Development department was involved. Worker fell from ladder while painting, resulting in concussion. Heat exhaustion from prolonged outdoor work On 18 August 2025 at 12:05, an incident occurred at Main Gate Security."
"Exposure to asbestos led to a fractured leg. Chris Fisher from the Facilities department was involved. The incident was reported by Blake Ward. On 06 April 2025 at 00:06, an incident occurred at Electrical Bay. Foreign object in eye from grinding debris"
"forklift malfunction caused electrical fire, injuring a contractor. Eye irritation from chemical fumes On 06 January 2025 at 06:15, an incident occurred at Electrical Bay. Chris Brown from the Dockyard Operations department was involved. The incident was reported by Sawyer Pearson."
"On 05 June 2025 at 23:53, an incident occurred at Fuel Depot. Crush injury to hand from hydraulic press Exposure to toxic fumes led to burns. The incident was reported by Logan Pearson. Jordan Morgan from the Operations department was involved."
"crane malfunction caused a fuel leak, injuring a contractor. Trip hazard fall resulting in bruising Rowan Sullivan from the Security department was involved. The incident was reported by Taylor Bailey. On 22 December 2024 at 12:42, an incident occurred at Electrical Bay."
"The incident was reported by Harper Parker. Concussion from falling object On 18 April 2024 at 00:20, an incident occurred at IT Server Room. Sydney Clark from the Warehouse department was involved. crane malfunction caused a steel beam to drop, injuring the operator."
"On 08 June 2025 at 23:25, an incident occurred at Reception Area. Concussion from falling object Jamie Murray from the Warehouse department was involved. The incident was reported by Avery Bennett. Worker fell from scaffolding while welding, resulting in a fractured leg."
"Exposure to high-voltage wiring led to burns. Smoke inhalation from fire in electrical bay On 18 July 2024 at 18:30, an incident occurred at Maintenance Shed. The incident was reported by Finley Lee. Emerson Sullivan from the Environmental Services department was involved."
"Exposure to high-voltage wiring led to a fractured leg. Dislocated shoulder during equipment maintenance The incident was reported by Sawyer Lee. Sydney Clark from the Procurement department was involved. On 06 May 2025 at 01:14, an incident occurred at Training Room."
"Worker fell from scaffolding while repairing the hull, resulting in burns. The incident was reported by Avery Clark. Finley Hughes from the Logistics department was involved. Burn from hot welding equipment On 24 December 2024 at 18:56, an incident occurred at Warehouse B."
"Taylor Bailey from the Health & Safety department was involved. Minor cuts and bruises The incident was reported by Blake Graham. crane malfunction caused a steel beam to drop, injuring a contractor. On 13 April 2025 at 05:16, an incident occurred at IT Server Room."
"The incident was reported by Quinn Pearson. forklift malfunction caused electrical fire, injuring the operator. Concussion from falling object On 06 June 2024 at 04:35, an incident occurred at Reception Area. Alex Sullivan from the Procurement department was involved."
"On 31 March 2025 at 03:35, an incident occurred at Dry Dock 1. Trip hazard fall resulting in bruising Worker fell from ladder while painting, resulting in burns. The incident was reported by Jesse Reed. Chris Morgan from the Dockyard Operations department was involved."
"Smoke inhalation from fire in electrical bay forklift malfunction caused electrical fire, injuring a contractor. The incident was reported by Blake Ward. On 22 March 2025 at 11:37, an incident occurred at Warehouse A. Taylor Cooper from the Finance department was involved."
"The incident was reported by Finley Parker. Fractured ankle due to fall from scaffolding Kai Lee from the Security department was involved. crane malfunction caused a fuel leak, injuring two workers. On 23 June 2025 at 15:44, an incident occurred at Training Room."
"Kai Brown from the Communications department was involved. The incident was reported by Reese Holmes. On 23 October 2024 at 04:08, an incident occurred at Main Gate Security. Back strain from improper lifting Worker fell from ladder while welding, resulting in concussion."
"On 17 March 2025 at 08:35, an incident occurred at Cafeteria. Hearing damage from loud machinery The incident was reported by Taylor Fisher. Morgan Ward from the Ship Maintenance department was involved. Worker fell from scaffolding while repairing the hull, resulting in a fractured leg."
"Avery Foster from the Legal department was involved. Worker fell from scaffolding while repairing the hull, resulting in burns. On 24 October 2024 at 22:55, an incident occurred at Reception Area. The incident was reported by Riley Hughes. Laceration from sharp metal panel"
"Harper Johnson from the Finance department was involved. Puncture wound from misplaced tool The incident was reported by Rowan Hughes. On 27 April 2024 at 08:30, an incident occurred at Engineering Workshop. Worker fell from ship deck while welding, resulting in burns."
"Exposure to asbestos led to a fractured leg. On 27 May 2024 at 06:09, an incident occurred at Office - Admin Block. Reese Davis from the Research & Development department was involved. Chemical burn from solvent exposure The incident was reported by Quinn Johnson."
"Hearing damage from loud machinery crane malfunction caused electrical fire, injuring the operator. The incident was reported by Finley Lee. On 14 September 2024 at 08:10, an incident occurred at Main Gate Security. Sydney Pearson from the Quality Assurance department was involved."
"On 15 March 2025 at 19:56, an incident occurred at IT Server Room. Worker fell from ship deck while painting, resulting in burns. Laceration from sharp metal panel Drew Walker from the Engineering department was involved. The incident was reported by Morgan Ward."
"Elliot Lee from the Customer Service department was involved. The incident was reported by Cameron Graham. Back strain from improper lifting Exposure to high-voltage wiring led to a fractured leg. On 21 October 2024 at 17:49, an incident occurred at Main Gate Security."
"Taylor Bailey from the Logistics department was involved. Crush injury to hand from hydraulic press On 23 May 2024 at 12:07, an incident occurred at Reception Area. The incident was reported by Jamie Hughes. Exposure to high-voltage wiring led to burns."
"The incident was reported by Sydney Bennett. Logan Graham from the Finance department was involved. On 27 December 2024 at 01:09, an incident occurred at Dockyard North. forklift malfunction caused a fuel leak, injuring two workers. Concussion from falling object"
"Exposure to toxic fumes led to concussion. Chris Sullivan from the Health & Safety department was involved. Trip hazard fall resulting in bruising The incident was reported by Emerson Smith. On 30 May 2024 at 18:49, an incident occurred at Maintenance Shed."
"On 01 August 2025 at 03:44, an incident occurred at Main Gate Security. Harper Parker from the Training & Development department was involved. The incident was reported by Cameron Smith. Exposure to high-voltage wiring led to a fractured leg. Heat exhaustion from prolonged outdoor work"
"On 14 May 2024 at 19:34, an incident occurred at Cafeteria. forklift malfunction caused electrical fire, injuring a contractor. Eye irritation from chemical fumes Drew Kennedy from the Research & Development department was involved. The incident was reported by Skyler Fisher."
"Jesse Foster from the Communications department was involved. The incident was reported by Frankie Graham. Exposure to toxic fumes led to a fractured leg. Smoke inhalation from fire in electrical bay On 13 September 2024 at 02:00, an incident occurred at Engineering Workshop."
"Dislocated shoulder during equipment maintenance On 13 June 2024 at 04:30, an incident occurred at Main Gate Security. crane malfunction caused electrical fire, injuring a contractor. The incident was reported by Drew Bailey. Harper Payne from the Health & Safety department was involved."
"On 08 July 2024 at 10:35, an incident occurred at Office - Admin Block. Elliot Lee from the Procurement department was involved. Back strain from improper lifting The incident was reported by Quinn Holmes. grinder malfunction caused a fuel leak, injuring a contractor."
"Exposure to asbestos led to concussion. On 08 July 2024 at 03:05, an incident occurred at Maintenance Shed. Avery Walker from the Security department was involved. Fractured ankle due to fall from scaffolding The incident was reported by Emerson Ward."
"Minor cuts and bruises Exposure to asbestos led to a fractured leg. On 03 November 2024 at 13:03, an incident occurred at Warehouse B. The incident was reported by Rowan Johnson. Peyton Allen from the Legal department was involved."
"Logan Bailey from the IT department was involved. Fractured wrist from fall on wet surface On 12 January 2025 at 20:12, an incident occurred at Cafeteria. Exposure to asbestos led to burns. The incident was reported by Frankie Fisher."
"The incident was reported by Cameron Morgan. crane malfunction caused electrical fire, injuring the operator. On 02 April 2025 at 01:42, an incident occurred at Dockyard South. Crush injury to hand from hydraulic press Skyler Morgan from the Finance department was involved."
"grinder malfunction caused a fuel leak, injuring the operator. Taylor Lewis from the Logistics department was involved. Compressed air injury during maintenance The incident was reported by Finley Mitchell. On 03 February 2025 at 20:58, an incident occurred at Main Gate Security."
"Taylor Pearson from the Security department was involved. On 15 June 2025 at 15:11, an incident occurred at Engineering Workshop. Dislocated shoulder during equipment maintenance Worker fell from ladder while welding, resulting in a fractured leg. The incident was reported by Sydney Bennett."
"Sawyer Cooper from the Training & Development department was involved. On 05 September 2024 at 08:04, an incident occurred at Reception Area. Foreign object in eye from grinding debris Worker fell from scaffolding while welding, resulting in concussion. The incident was reported by Taylor Mitchell."
"The incident was reported by Chris Payne. Burn from hot welding equipment On 07 March 2024 at 12:41, an incident occurred at Cafeteria. Riley Pearson from the Ship Maintenance department was involved. Worker fell from ladder while welding, resulting in a fractured leg."
"Jesse Sullivan from the HR department was involved. On 21 July 2024 at 09:09, an incident occurred at Shipyard Pier. The incident was reported by Kai Robinson. Foreign object in eye from grinding debris Exposure to asbestos led to burns."
"forklift malfunction caused electrical fire, injuring two workers. On 23 April 2024 at 05:14, an incident occurred at Electrical Bay. Puncture wound from misplaced tool The incident was reported by Alex Murray. Cameron Clark from the Customer Service department was involved."
"Peyton Walker from the Quality Assurance department was involved. Eye irritation from chemical fumes Exposure to toxic fumes led to concussion. On 20 June 2025 at 23:24, an incident occurred at Training Room. The incident was reported by Dakota Robinson."
"On 26 August 2024 at 13:24, an incident occurred at Fuel Depot. Worker fell from scaffolding while welding, resulting in a fractured leg. Trip hazard fall resulting in bruising Casey Mitchell from the HR department was involved. The incident was reported by Chris Mitchell."
"Minor cuts and bruises Worker fell from ladder while welding, resulting in concussion. Quinn Parker from the Finance department was involved. On 15 January 2024 at 05:17, an incident occurred at Fuel Depot. The incident was reported by Taylor Clark."
"The incident was reported by Rowan Murray. Exposure to toxic fumes led to burns. On 13 August 2025 at 20:53, an incident occurred at Dockyard North. Reese Graham from the Engineering department was involved. Electric shock from faulty wiring"
"Fractured wrist from fall on wet surface Taylor Pearson from the Ship Maintenance department was involved. forklift malfunction caused a fuel leak, injuring two workers. The incident was reported by Casey Sullivan. On 19 August 2025 at 12:02, an incident occurred at Maintenance Shed."
"Drew Bennett from the Ship Maintenance department was involved. Burn from hot welding equipment On 05 April 2025 at 12:26, an incident occurred at Training Room. The incident was reported by Blake Murphy. grinder malfunction caused electrical fire, injuring the operator."
"Harper Clark from the Facilities department was involved. The incident was reported by Logan Lewis. Fractured ankle due to fall from scaffolding On 24 October 2024 at 16:56, an incident occurred at Training Room. crane malfunction caused a fuel leak, injuring a contractor."
"Jamie Murray from the Legal department was involved. Exposure to asbestos led to burns. On 17 July 2024 at 22:14, an incident occurred at Cafeteria. Compressed air injury during maintenance The incident was reported by Taylor Lewis."
"The incident was reported by Morgan Clark. Back strain from improper lifting forklift malfunction caused electrical fire, injuring a contractor. On 17 February 2025 at 11:34, an incident occurred at Engineering Workshop. Spencer West from the Procurement department was involved."
"On 07 April 2024 at 02:16, an incident occurred at Tool Crib. grinder malfunction caused electrical fire, injuring a contractor. Eye irritation from chemical fumes Kai Murphy from the Ship Maintenance department was involved. The incident was reported by Frankie Fisher."
"Hearing damage from loud machinery Worker fell from ship deck while repairing the hull, resulting in burns. On 07 August 2025 at 17:43, an incident occurred at Dry Dock 1. The incident was reported by Charlie Graham. Reese Smith from the HR department was involved."
"The incident was reported by Dakota Bailey. Fractured ankle due to fall from scaffolding Sawyer Cooper from the Procurement department was involved. On 23 May 2024 at 14:36, an incident occurred at Dry Dock 2. grinder malfunction caused electrical fire, injuring two workers."
"Worker fell from ship deck while welding, resulting in concussion. Alex Brown from the Facilities department was involved. The incident was reported by Reese Murray. Compressed air injury during maintenance On 26 April 2024 at 00:10, an incident occurred at Dry Dock 2."
"Chemical burn from solvent exposure On 04 March 2025 at 02:25, an incident occurred at Dry Dock 1. Worker fell from ship deck while repairing the hull, resulting in a fractured leg. The incident was reported by Rowan Kennedy. Jordan Murray from the Customer Service department was involved."
"The incident was reported by Sawyer Reed. On 21 July 2025 at 11:36, an incident occurred at Warehouse A. Foreign object in eye from grinding debris Harper Walker from the Procurement department was involved. Exposure to asbestos led to a fractured leg."
"On 20 February 2024 at 12:18, an incident occurred at Cafeteria. Alex Davis from the Communications department was involved. Smoke inhalation from fire in electrical bay The incident was reported by Emerson Holmes. Exposure to toxic fumes led to a fractured leg."
"Exposure to high-voltage wiring led to a fractured leg. The incident was reported by Charlie Clark. Skyler Brown from the Dockyard Operations department was involved. Severe abrasion from slip on deck On 08 December 2024 at 09:23, an incident occurred at Fuel Depot."
"Worker fell from ship deck while repairing the hull, resulting in a fractured leg. The incident was reported by Jordan Ward. Fractured ankle due to fall from scaffolding Drew Bailey from the Quality Assurance department was involved. On 31 May 2024 at 04:55, an incident occurred at Dockyard South."
"The incident was reported by Blake Foster. Exposure to asbestos led to a fractured leg. Foreign object in eye from grinding debris On 30 July 2024 at 03:16, an incident occurred at Reception Area. Emerson Bennett from the Communications department was involved."
"The incident was reported by Cameron Brown. On 01 June 2025 at 06:35, an incident occurred at Dockyard South. Eye irritation from chemical fumes Quinn Mitchell from the Ship Maintenance department was involved. crane malfunction caused a fuel leak, injuring a contractor."
"Kai Ward from the Communications department was involved. On 26 June 2025 at 21:56, an incident occurred at Electrical Bay. The incident was reported by Finley Murphy. Exposure to high-voltage wiring led to concussion. Fractured wrist from fall on wet surface"
"Fractured ankle due to fall from scaffolding Exposure to toxic fumes led to concussion. Spencer West from the HR department was involved. On 15 October 2024 at 09:44, an incident occurred at Fuel Depot. The incident was reported by Jamie Payne."
"On 22 July 2024 at 07:31, an incident occurred at Fleet Garage. forklift malfunction caused a fuel leak, injuring the operator. Laceration from sharp metal panel The incident was reported by Rowan Pearson. Peyton Reed from the Quality Assurance department was involved."
"Taylor Brown from the Engineering department was involved. Exposure to high-voltage wiring led to burns. On 12 January 2025 at 04:04, an incident occurred at Warehouse B. Severe abrasion from slip on deck The incident was reported by Elliot Mitchell."
"grinder malfunction caused a steel beam to drop, injuring two workers. Chemical burn from solvent exposure Rowan Bennett from the Operations department was involved. The incident was reported by Reese Hughes. On 16 May 2025 at 03:20, an incident occurred at Dockyard South."
"Sawyer Murphy from the Security department was involved. On 08 March 2024 at 13:19, an incident occurred at Dockyard South. Worker fell from scaffolding while repairing the hull, resulting in a fractured leg. Hearing damage from loud machinery The incident was reported by Frankie Foster."
"On 01 July 2025 at 07:42, an incident occurred at Office - Admin Block. Severe abrasion from slip on deck forklift malfunction caused a fuel leak, injuring the operator. Alex Graham from the Operations department was involved. The incident was reported by Sydney Lee."
"The incident was reported by Riley Cooper. On 27 June 2024 at 22:05, an incident occurred at Dockyard North. Severe abrasion from slip on deck Exposure to toxic fumes led to burns. Jesse Davis from the Research & Development department was involved."
"Trip hazard fall resulting in bruising Worker fell from ship deck while painting, resulting in burns. Spencer Johnson from the Finance department was involved. On 10 June 2024 at 08:51, an incident occurred at Warehouse A. The incident was reported by Chris Parker."
"Burn from hot welding equipment Taylor Parker from the Logistics department was involved. On 06 February 2024 at 05:01, an incident occurred at Tool Crib. grinder malfunction caused a steel beam to drop, injuring the operator. The incident was reported by Harper Smith."
"On 14 July 2024 at 16:55, an incident occurred at Engineering Workshop. Dislocated shoulder during equipment maintenance grinder malfunction caused a steel beam to drop, injuring the operator. The incident was reported by Jesse Payne. Kai Walker from the Facilities department was involved."
"Chris Murray from the Customer Service department was involved. crane malfunction caused electrical fire, injuring two workers. Smoke inhalation from fire in electrical bay On 17 February 2024 at 09:11, an incident occurred at Training Room. The incident was reported by Peyton Bennett."
"On 28 January 2024 at 22:07, an incident occurred at Fuel Depot. forklift malfunction caused electrical fire, injuring two workers. Sawyer Hughes from the Dockyard Operations department was involved. Compressed air injury during maintenance The incident was reported by Frankie Ward."
"The incident was reported by Sawyer Bailey. Exposure to high-voltage wiring led to a fractured leg. Sawyer West from the HR department was involved. Concussion from falling object On 16 June 2024 at 05:36, an incident occurred at Paint Shop."
"On 20 November 2024 at 13:22, an incident occurred at Dockyard South. Charlie Lee from the Training & Development department was involved. Exposure to asbestos led to a fractured leg. Severe abrasion from slip on deck The incident was reported by Drew Mitchell."
"Dislocated shoulder during equipment maintenance Blake Payne from the HR department was involved. On 17 August 2025 at 18:31, an incident occurred at Main Gate Security. The incident was reported by Kai Bailey. Worker fell from ship deck while welding, resulting in burns."
"The incident was reported by Reese Kennedy. Worker fell from ship deck while painting, resulting in concussion. On 18 December 2024 at 20:19, an incident occurred at Warehouse B. Concussion from falling object Quinn Smith from the Logistics department was involved."
"The incident was reported by Reese Robinson. Exposure to high-voltage wiring led to a fractured leg. Sawyer Smith from the Security department was involved. On 11 April 2024 at 13:45, an incident occurred at Engineering Workshop. Heat exhaustion from prolonged outdoor work"
"forklift malfunction caused electrical fire, injuring a contractor. Heat exhaustion from prolonged outdoor work On 11 March 2025 at 03:55, an incident occurred at Office - Admin Block. Alex Johnson from the Warehouse department was involved. The incident was reported by Casey Morgan."
"On 08 June 2024 at 23:39, an incident occurred at Fuel Depot. forklift malfunction caused a fuel leak, injuring a contractor. Logan Allen from the Finance department was involved. The incident was reported by Jamie Parker. Laceration from sharp metal panel"
"Jesse Hughes from the Procurement department was involved. Exposure to asbestos led to a fractured leg. Back strain from improper lifting On 25 July 2024 at 10:28, an incident occurred at Tool Crib. The incident was reported by Emerson Murray."
"The incident was reported by Chris West. Exposure to asbestos led to burns. On 22 August 2024 at 08:28, an incident occurred at Fuel Depot. Drew Fisher from the Facilities department was involved. Crush injury to hand from hydraulic press"
"Worker fell from scaffolding while repairing the hull, resulting in concussion. The incident was reported by Elliot Murphy. Sydney Hughes from the Warehouse department was involved. Eye irritation from chemical fumes On 02 October 2024 at 04:51, an incident occurred at Warehouse B."
"Worker fell from ship deck while repairing the hull, resulting in concussion. Jesse Bennett from the Warehouse department was involved. On 06 June 2024 at 03:36, an incident occurred at Engineering Workshop. The incident was reported by Dakota Kennedy. Burn from hot welding equipment"
"On 28 September 2024 at 06:05, an incident occurred at Electrical Bay. forklift malfunction caused a steel beam to drop, injuring two workers. The incident was reported by Rowan Pearson. Cameron Murphy from the Dockyard Operations department was involved. Hearing damage from loud machinery"
"Alex Graham from the Training & Development department was involved. Laceration from sharp metal panel On 02 June 2025 at 11:45, an incident occurred at Fuel Depot. The incident was reported by Dakota Brown. Exposure to toxic fumes led to burns."
"Exposure to high-voltage wiring led to a fractured leg. Finley Kennedy from the IT department was involved. Fractured ankle due to fall from scaffolding The incident was reported by Sawyer Johnson. On 22 September 2024 at 02:16, an incident occurred at Engineering Workshop."
"On 14 October 2024 at 01:32, an incident occurred at IT Server Room. Concussion from falling object Worker fell from ship deck while welding, resulting in burns. The incident was reported by Emerson Smith. Cameron Clark from the Security department was involved."
"The incident was reported by Alex Mitchell. Worker fell from scaffolding while repairing the hull, resulting in a fractured leg. Concussion from falling object Quinn Walker from the Logistics department was involved. On 31 March 2024 at 08:30, an incident occurred at Reception Area."
"Exposure to high-voltage wiring led to burns. Crush injury to hand from hydraulic press On 13 June 2024 at 00:55, an incident occurred at Warehouse B. The incident was reported by Sawyer Payne. Alex West from the Research & Development department was involved."
"The incident was reported by Finley Graham. Skyler Murphy from the Customer Service department was involved. Worker fell from ladder while repairing the hull, resulting in concussion. On 26 August 2024 at 14:47, an incident occurred at Dockyard North. Severe abrasion from slip on deck"
