reporter_name,person_involved,incident_date,incident_time,department,incident_description,location,label,was_injured,injury_description
Reese Bennett,Avery Murphy,15 March 2025,17:57,Environmental Services,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Main Gate Security,Accident,Yes,Laceration from sharp metal panel
Chris Davis,Taylor Sullivan,10 May 2025,09:16,Customer Service,"Worker fell from scaffolding while repairing the hull, resulting in concussion.",Main Gate Security,Accident,Yes,Crush injury to hand from hydraulic press
Jordan Murphy,Riley Davis,26 April 2025,08:24,Quality Assurance,Exposure to toxic fumes led to concussion.,Dockyard South,Accident,Yes,Crush injury to hand from hydraulic press
Taylor Mitchell,Morgan Mitchell,24 January 2024,00:11,Warehouse,Exposure to high-voltage wiring led to burns.,Tool Crib,Accident,Yes,Severe abrasion from slip on deck
Chris Ward,Sawyer Brown,01 February 2024,18:08,Fleet Management,"Worker fell from ship deck while repairing the hull, resulting in concussion.",Dry Dock 2,Accident,Yes,Compressed air injury during maintenance
Elliot Parker,Sawyer Davis,05 May 2025,12:48,Dockyard Operations,"forklift malfunction caused a fuel leak, injuring the operator.",Electrical Bay,Accident,Yes,Heat exhaustion from prolonged outdoor work
Elliot West,Harper Davis,06 December 2024,10:49,HR,"forklift malfunction caused a steel beam to drop, injuring the operator.",Warehouse B,Accident,Yes,Minor cuts and bruises
Avery Bennett,Chris Brown,24 March 2025,11:14,Facilities,"forklift malfunction caused a fuel leak, injuring a contractor.",Fleet Garage,Accident,Yes,Heat exhaustion from prolonged outdoor work
Charlie Lewis,Riley Morgan,08 April 2025,07:53,Dockyard Operations,"Worker fell from ship deck while repairing the hull, resulting in burns.",Tool Crib,Accident,Yes,Smoke inhalation from fire in electrical bay
Blake Johnson,Harper Payne,22 April 2024,14:49,Research & Development,"crane malfunction caused a steel beam to drop, injuring two workers.",Dry Dock 2,Accident,Yes,Eye irritation from chemical fumes
Cameron Allen,Drew Lewis,12 July 2024,19:36,Communications,"forklift malfunction caused electrical fire, injuring two workers.",Warehouse B,Accident,Yes,Back strain from improper lifting
Skyler Sullivan,Emerson Smith,18 November 2024,02:53,Health & Safety,"crane malfunction caused a steel beam to drop, injuring a contractor.",Shipyard Pier,Accident,Yes,Heat exhaustion from prolonged outdoor work
Cameron Clark,Alex West,22 April 2024,13:11,Engineering,"grinder malfunction caused a fuel leak, injuring two workers.",Dockyard North,Accident,Yes,Dislocated shoulder during equipment maintenance
Morgan Lee,Dakota Sullivan,04 November 2024,14:37,Fleet Management,"forklift malfunction caused electrical fire, injuring a contractor.",Dockyard North,Accident,Yes,Concussion from falling object
Blake Reed,Jordan West,26 March 2025,23:16,Research & Development,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Main Gate Security,Accident,Yes,Hearing damage from loud machinery
Drew Fisher,Jordan Ward,30 April 2025,15:40,Health & Safety,Exposure to high-voltage wiring led to burns.,Warehouse A,Accident,Yes,Compressed air injury during maintenance
Charlie Morgan,Jordan Ward,08 November 2024,01:26,Finance,"crane malfunction caused electrical fire, injuring the operator.",Office - Admin Block,Accident,Yes,Concussion from falling object
Jesse Lee,Emerson Hughes,16 February 2024,18:38,IT,"Worker fell from ship deck while repairing the hull, resulting in concussion.",Electrical Bay,Accident,Yes,Minor cuts and bruises
Chris Kennedy,Harper Parker,10 August 2024,17:17,Customer Service,"grinder malfunction caused a steel beam to drop, injuring two workers.",Maintenance Shed,Accident,Yes,Concussion from falling object
Logan Holmes,Chris Cooper,16 November 2024,08:30,Fleet Management,"forklift malfunction caused a fuel leak, injuring the operator.",Shipyard Pier,Accident,Yes,Fractured wrist from fall on wet surface
Alex Kennedy,Dakota Robinson,01 December 2024,10:30,Customer Service,"grinder malfunction caused electrical fire, injuring a contractor.",Training Room,Accident,Yes,Trip hazard fall resulting in bruising
Peyton Lewis,Finley Johnson,27 June 2024,16:41,Training & Development,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Office - Admin Block,Accident,Yes,Heat exhaustion from prolonged outdoor work
Kai Johnson,Rowan Hughes,29 January 2024,22:11,Finance,"grinder malfunction caused a steel beam to drop, injuring two workers.",Dockyard North,Accident,Yes,Crush injury to hand from hydraulic press
Peyton Mitchell,Jordan Graham,19 April 2024,05:30,Training & Development,Exposure to toxic fumes led to concussion.,Electrical Bay,Accident,Yes,Heat exhaustion from prolonged outdoor work
Chris Walker,Reese Hughes,11 October 2024,10:55,IT,"forklift malfunction caused electrical fire, injuring two workers.",Office - Admin Block,Accident,Yes,Eye irritation from chemical fumes
Spencer Cooper,Jordan Davis,17 May 2025,13:22,Operations,"crane malfunction caused a steel beam to drop, injuring two workers.",Dockyard North,Accident,Yes,Burn from hot welding equipment
Jesse Cooper,Skyler Robinson,22 December 2024,19:14,IT,"grinder malfunction caused electrical fire, injuring the operator.",Dockyard North,Accident,Yes,Concussion from falling object
Kai Parker,Alex Foster,03 December 2024,16:11,Security,"Worker fell from scaffolding while painting, resulting in burns.",IT Server Room,Accident,Yes,Fractured ankle due to fall from scaffolding
Harper Sullivan,Kai Clark,25 April 2024,14:23,Environmental Services,Exposure to toxic fumes led to burns.,Warehouse A,Accident,Yes,Electric shock from faulty wiring
Taylor Foster,Sawyer Lee,28 March 2025,21:26,Logistics,Exposure to toxic fumes led to concussion.,Paint Shop,Accident,Yes,Eye irritation from chemical fumes
Logan Johnson,Elliot Davis,13 May 2024,22:54,Training & Development,"Worker fell from scaffolding while painting, resulting in a fractured leg.",IT Server Room,Accident,Yes,Trip hazard fall resulting in bruising
Chris Pearson,Sydney Brown,09 September 2024,21:42,Environmental Services,Exposure to high-voltage wiring led to burns.,Paint Shop,Accident,Yes,Heat exhaustion from prolonged outdoor work
Rowan Sullivan,Drew Davis,17 September 2024,02:15,Legal,"Worker fell from ship deck while welding, resulting in burns.",Maintenance Shed,Accident,Yes,Electric shock from faulty wiring
Finley Bennett,Emerson Clark,20 July 2025,12:14,Dockyard Operations,"Worker fell from ship deck while repairing the hull, resulting in concussion.",Dry Dock 2,Accident,Yes,Severe abrasion from slip on deck
Jordan Hughes,Kai Reed,11 May 2025,09:31,Quality Assurance,"Worker fell from ladder while painting, resulting in a fractured leg.",Cafeteria,Accident,Yes,Severe abrasion from slip on deck
Spencer Murray,Morgan Allen,04 March 2025,10:46,Health & Safety,"Worker fell from scaffolding while welding, resulting in a fractured leg.",IT Server Room,Accident,Yes,Concussion from falling object
Dakota Reed,Quinn Ward,13 November 2024,14:15,Logistics,"Worker fell from ladder while welding, resulting in burns.",Warehouse A,Accident,Yes,Chemical burn from solvent exposure
Jamie Brown,Kai Foster,31 January 2025,05:49,Finance,"grinder malfunction caused electrical fire, injuring two workers.",Dry Dock 1,Accident,Yes,Trip hazard fall resulting in bruising
Casey Murphy,Reese Lee,05 August 2024,19:38,HR,"crane malfunction caused electrical fire, injuring a contractor.",Training Room,Accident,Yes,Foreign object in eye from grinding debris
Charlie Davis,Blake Bennett,07 February 2024,11:55,IT,"crane malfunction caused a steel beam to drop, injuring a contractor.",Electrical Bay,Accident,Yes,Back strain from improper lifting
Drew Sullivan,Frankie Cooper,06 November 2024,15:47,IT,"Worker fell from scaffolding while welding, resulting in concussion.",Main Gate Security,Accident,Yes,Laceration from sharp metal panel
Morgan Johnson,Dakota Parker,16 August 2024,16:36,HR,"Worker fell from scaffolding while painting, resulting in a fractured leg.",Shipyard Pier,Accident,Yes,Smoke inhalation from fire in electrical bay
Avery Murphy,Cameron Lee,31 March 2024,09:48,Procurement,"crane malfunction caused a fuel leak, injuring two workers.",Warehouse A,Accident,Yes,Fractured ankle due to fall from scaffolding
Morgan Fisher,Dakota Mitchell,04 July 2025,16:43,Training & Development,"Worker fell from ship deck while painting, resulting in concussion.",Reception Area,Accident,Yes,Electric shock from faulty wiring
Blake Payne,Logan Smith,14 September 2024,14:09,Logistics,"Worker fell from ladder while painting, resulting in a fractured leg.",Dockyard North,Accident,Yes,Eye irritation from chemical fumes
Finley Allen,Jordan Bailey,29 January 2025,17:13,Customer Service,"Worker fell from ship deck while welding, resulting in concussion.",Dry Dock 1,Accident,Yes,Smoke inhalation from fire in electrical bay
Kai Fisher,Alex Bailey,10 May 2025,06:33,Training & Development,Exposure to high-voltage wiring led to a fractured leg.,Training Room,Accident,Yes,Trip hazard fall resulting in bruising
Dakota Pearson,Casey Johnson,14 July 2025,13:14,Research & Development,"Worker fell from ship deck while repairing the hull, resulting in burns.",Dry Dock 2,Accident,Yes,Electric shock from faulty wiring
Morgan Bailey,Rowan West,23 March 2025,20:59,Health & Safety,Exposure to toxic fumes led to a fractured leg.,Fuel Depot,Accident,Yes,Heat exhaustion from prolonged outdoor work
Casey Murray,Jordan Walker,16 July 2025,18:36,Ship Maintenance,"Worker fell from ship deck while welding, resulting in concussion.",Dry Dock 1,Accident,Yes,Trip hazard fall resulting in bruising
Morgan Clark,Sawyer Bennett,27 March 2025,07:59,Operations,"grinder malfunction caused a fuel leak, injuring the operator.",Engineering Workshop,Accident,Yes,Chemical burn from solvent exposure
Blake Kennedy,Reese Murphy,20 March 2024,08:46,Procurement,"crane malfunction caused a fuel leak, injuring two workers.",Electrical Bay,Accident,Yes,Fractured ankle due to fall from scaffolding
Drew Holmes,Jordan Cooper,19 March 2024,13:51,Fleet Management,Exposure to asbestos led to concussion.,Dry Dock 1,Accident,Yes,Dislocated shoulder during equipment maintenance
Spencer Robinson,Kai Morgan,05 June 2024,13:15,Procurement,Exposure to high-voltage wiring led to burns.,Warehouse B,Accident,Yes,Heat exhaustion from prolonged outdoor work
Casey Holmes,Jamie Robinson,31 August 2024,08:37,Quality Assurance,Exposure to asbestos led to burns.,IT Server Room,Accident,Yes,Minor cuts and bruises
Sydney Davis,Charlie Mitchell,27 March 2024,22:32,Dockyard Operations,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Paint Shop,Accident,Yes,Crush injury to hand from hydraulic press
Peyton Graham,Jamie Bailey,25 November 2024,10:24,Environmental Services,Exposure to toxic fumes led to concussion.,Maintenance Shed,Accident,Yes,Burn from hot welding equipment
Blake Robinson,Frankie Clark,01 March 2025,07:34,Legal,"Worker fell from ladder while painting, resulting in burns.",Shipyard Pier,Accident,Yes,Severe abrasion from slip on deck
Quinn Payne,Skyler Pearson,11 July 2024,12:33,Research & Development,"crane malfunction caused electrical fire, injuring two workers.",Fleet Garage,Accident,Yes,Trip hazard fall resulting in bruising
Casey Lewis,Chris Smith,19 June 2024,21:48,Fleet Management,"Worker fell from ship deck while painting, resulting in burns.",Dry Dock 2,Accident,Yes,Electric shock from faulty wiring
Avery Walker,Harper Murray,25 August 2024,07:48,Procurement,"forklift malfunction caused a steel beam to drop, injuring the operator.",Fleet Garage,Accident,Yes,Severe abrasion from slip on deck
Kai Fisher,Finley Hughes,20 May 2025,13:36,Communications,Exposure to high-voltage wiring led to burns.,Engineering Workshop,Accident,Yes,Concussion from falling object
Cameron Murray,Spencer Davis,25 November 2024,04:43,Fleet Management,"Worker fell from ship deck while welding, resulting in concussion.",Dockyard North,Accident,Yes,Trip hazard fall resulting in bruising
Rowan Morgan,Dakota Ward,29 January 2025,10:04,Facilities,Exposure to high-voltage wiring led to a fractured leg.,Engineering Workshop,Accident,Yes,Eye irritation from chemical fumes
Blake Parker,Dakota Bailey,23 November 2024,03:38,Security,Exposure to high-voltage wiring led to concussion.,Office - Admin Block,Accident,Yes,Eye irritation from chemical fumes
Logan Smith,Frankie Clark,12 April 2024,09:11,Training & Development,Exposure to high-voltage wiring led to burns.,Fleet Garage,Accident,Yes,Severe abrasion from slip on deck
Quinn Reed,Dakota Kennedy,15 September 2024,03:02,Engineering,"Worker fell from ladder while welding, resulting in burns.",Cafeteria,Accident,Yes,Trip hazard fall resulting in bruising
Sydney Ward,Harper Lewis,08 May 2025,06:52,Security,"crane malfunction caused electrical fire, injuring the operator.",Electrical Bay,Accident,Yes,Puncture wound from misplaced tool
Peyton Brown,Avery Hughes,09 July 2024,07:01,Legal,"Worker fell from scaffolding while welding, resulting in burns.",Dry Dock 1,Accident,Yes,Laceration from sharp metal panel
Logan Foster,Harper Lewis,05 December 2024,21:52,Logistics,"crane malfunction caused electrical fire, injuring the operator.",Fuel Depot,Accident,Yes,Fractured wrist from fall on wet surface
Morgan Walker,Charlie Fisher,08 March 2025,19:40,Facilities,"Worker fell from ship deck while painting, resulting in concussion.",Maintenance Shed,Accident,Yes,Foreign object in eye from grinding debris
Jesse Sullivan,Emerson Hughes,07 June 2025,10:46,Ship Maintenance,"Worker fell from ladder while repairing the hull, resulting in concussion.",Dry Dock 2,Accident,Yes,Chemical burn from solvent exposure
Rowan Reed,Charlie Hughes,22 January 2025,11:48,Ship Maintenance,"Worker fell from ship deck while painting, resulting in concussion.",Fleet Garage,Accident,Yes,Chemical burn from solvent exposure
Jordan Johnson,Frankie Mitchell,11 April 2025,14:47,Ship Maintenance,Exposure to asbestos led to a fractured leg.,Electrical Bay,Accident,Yes,Concussion from falling object
Morgan Davis,Frankie Brown,17 May 2025,16:35,Quality Assurance,"crane malfunction caused a steel beam to drop, injuring the operator.",Maintenance Shed,Accident,Yes,Foreign object in eye from grinding debris
Riley Murray,Skyler Graham,30 May 2024,09:36,Procurement,"Worker fell from ladder while painting, resulting in concussion.",Electrical Bay,Accident,Yes,Eye irritation from chemical fumes
Avery Smith,Chris Murphy,14 June 2024,03:55,Operations,"crane malfunction caused electrical fire, injuring the operator.",Paint Shop,Accident,Yes,Compressed air injury during maintenance
Chris Robinson,Avery Smith,01 August 2024,02:58,Warehouse,Exposure to high-voltage wiring led to a fractured leg.,Training Room,Accident,Yes,Smoke inhalation from fire in electrical bay
Casey Johnson,Sydney Pearson,13 June 2024,12:41,Health & Safety,"Worker fell from ladder while painting, resulting in a fractured leg.",Engineering Workshop,Accident,Yes,Dislocated shoulder during equipment maintenance
Sydney Payne,Elliot Sullivan,21 July 2025,06:17,Operations,Exposure to high-voltage wiring led to a fractured leg.,Office - Admin Block,Accident,Yes,Compressed air injury during maintenance
Cameron Kennedy,Emerson Holmes,09 May 2025,18:17,Fleet Management,"grinder malfunction caused a steel beam to drop, injuring the operator.",Maintenance Shed,Accident,Yes,Back strain from improper lifting
Charlie Bennett,Frankie Mitchell,01 June 2024,00:04,Engineering,"crane malfunction caused electrical fire, injuring the operator.",Fuel Depot,Accident,Yes,Puncture wound from misplaced tool
Morgan Bennett,Alex Reed,24 February 2025,01:11,Quality Assurance,Exposure to toxic fumes led to burns.,Dockyard North,Accident,Yes,Compressed air injury during maintenance
Jamie Graham,Riley Bailey,29 May 2024,23:55,Environmental Services,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Training Room,Accident,Yes,Foreign object in eye from grinding debris
Riley Davis,Cameron Foster,13 January 2025,17:03,Dockyard Operations,"crane malfunction caused a steel beam to drop, injuring the operator.",Tool Crib,Accident,Yes,Heat exhaustion from prolonged outdoor work
Avery West,Chris Payne,05 February 2024,13:17,Legal,Exposure to asbestos led to a fractured leg.,Tool Crib,Accident,Yes,Fractured wrist from fall on wet surface
Morgan Lee,Alex Hughes,04 March 2025,09:34,Research & Development,"crane malfunction caused a steel beam to drop, injuring the operator.",Cafeteria,Accident,Yes,Dislocated shoulder during equipment maintenance
Reese Graham,Alex Graham,23 September 2024,03:37,Procurement,"grinder malfunction caused a fuel leak, injuring two workers.",Electrical Bay,Accident,Yes,Eye irritation from chemical fumes
Taylor Walker,Harper Murphy,06 April 2025,11:50,Communications,Exposure to high-voltage wiring led to concussion.,Main Gate Security,Accident,Yes,Dislocated shoulder during equipment maintenance
Jordan West,Jordan Mitchell,14 May 2024,10:46,Facilities,"crane malfunction caused electrical fire, injuring the operator.",Dockyard North,Accident,Yes,Back strain from improper lifting
Rowan Parker,Finley Smith,04 June 2025,09:59,IT,"forklift malfunction caused a fuel leak, injuring the operator.",Training Room,Accident,Yes,Fractured wrist from fall on wet surface
Alex Sullivan,Elliot Allen,09 February 2025,16:45,Ship Maintenance,Exposure to high-voltage wiring led to burns.,Paint Shop,Accident,Yes,Concussion from falling object
Skyler Reed,Frankie Parker,01 August 2025,03:09,Finance,Exposure to toxic fumes led to concussion.,Cafeteria,Accident,Yes,Chemical burn from solvent exposure
Jesse Morgan,Skyler Allen,15 March 2024,11:43,Warehouse,"forklift malfunction caused a fuel leak, injuring a contractor.",Warehouse B,Accident,Yes,Compressed air injury during maintenance
Avery Holmes,Alex Pearson,28 February 2024,14:59,Warehouse,"Worker fell from ship deck while welding, resulting in concussion.",Training Room,Accident,Yes,Electric shock from faulty wiring
Sawyer Johnson,Riley Cooper,08 March 2024,03:09,Training & Development,"Worker fell from ladder while welding, resulting in burns.",Office - Admin Block,Accident,Yes,Compressed air injury during maintenance
Finley Smith,Dakota Bennett,09 January 2024,09:52,Quality Assurance,"Worker fell from ladder while welding, resulting in concussion.",Fuel Depot,Accident,Yes,Severe abrasion from slip on deck
Jordan Holmes,Morgan Robinson,09 April 2025,11:05,Environmental Services,"Worker fell from ship deck while repairing the hull, resulting in a fractured leg.",Fleet Garage,Accident,Yes,Eye irritation from chemical fumes
Charlie Pearson,Kai Clark,23 May 2025,01:41,Communications,"Worker fell from ship deck while painting, resulting in a fractured leg.",Office - Admin Block,Accident,Yes,Dislocated shoulder during equipment maintenance
Jamie Allen,Alex Bennett,04 February 2024,21:59,Health & Safety,"crane malfunction caused electrical fire, injuring a contractor.",Dry Dock 1,Accident,Yes,Fractured ankle due to fall from scaffolding
Reese Johnson,Cameron Brown,28 July 2024,06:01,Ship Maintenance,Exposure to asbestos led to a fractured leg.,Reception Area,Accident,Yes,Heat exhaustion from prolonged outdoor work
Cameron Bailey,Morgan Cooper,06 December 2024,23:36,Facilities,"Worker fell from scaffolding while welding, resulting in burns.",Cafeteria,Accident,Yes,Minor cuts and bruises
Morgan Allen,Casey Cooper,03 August 2024,16:25,Health & Safety,"crane malfunction caused electrical fire, injuring two workers.",Office - Admin Block,Accident,Yes,Puncture wound from misplaced tool
Dakota Graham,Sawyer Mitchell,24 September 2024,22:36,Research & Development,"Worker fell from ladder while welding, resulting in a fractured leg.",Cafeteria,Accident,Yes,Severe abrasion from slip on deck
Finley Murray,Elliot West,02 March 2024,08:07,IT,"Worker fell from ship deck while welding, resulting in burns.",Dockyard South,Accident,Yes,Hearing damage from loud machinery
Taylor Sullivan,Harper Sullivan,28 January 2024,09:07,Environmental Services,"Worker fell from scaffolding while welding, resulting in a fractured leg.",Fleet Garage,Accident,Yes,Burn from hot welding equipment
Skyler Kennedy,Jordan Payne,22 September 2024,11:14,Warehouse,"crane malfunction caused a fuel leak, injuring the operator.",Dockyard South,Accident,Yes,Back strain from improper lifting
Skyler Bennett,Quinn Reed,10 June 2024,12:41,Health & Safety,"forklift malfunction caused a fuel leak, injuring two workers.",Training Room,Accident,Yes,Electric shock from faulty wiring
Charlie Clark,Frankie Lewis,12 June 2025,15:06,HR,"crane malfunction caused electrical fire, injuring the operator.",Reception Area,Accident,Yes,Burn from hot welding equipment
Cameron Pearson,Sawyer Bennett,30 March 2025,13:08,Environmental Services,Exposure to high-voltage wiring led to a fractured leg.,Tool Crib,Accident,Yes,Fractured ankle due to fall from scaffolding
Taylor Graham,Jesse Johnson,23 June 2025,02:24,HR,"crane malfunction caused a fuel leak, injuring two workers.",Dockyard North,Accident,Yes,Heat exhaustion from prolonged outdoor work
Rowan Murphy,Avery Clark,14 November 2024,14:08,Procurement,Exposure to high-voltage wiring led to concussion.,Paint Shop,Accident,Yes,Fractured wrist from fall on wet surface
Spencer Holmes,Elliot West,02 June 2025,15:37,Ship Maintenance,"grinder malfunction caused electrical fire, injuring the operator.",Fuel Depot,Accident,Yes,Electric shock from faulty wiring
Spencer Robinson,Morgan Bennett,04 December 2024,08:59,Logistics,"grinder malfunction caused a fuel leak, injuring a contractor.",Electrical Bay,Accident,Yes,Smoke inhalation from fire in electrical bay
Reese Sullivan,Jesse Morgan,06 August 2025,12:35,Warehouse,"Worker fell from scaffolding while painting, resulting in concussion.",Maintenance Shed,Accident,Yes,Trip hazard fall resulting in bruising
Sydney Kennedy,Finley Fisher,12 February 2024,13:41,Facilities,"Worker fell from ship deck while repairing the hull, resulting in burns.",Maintenance Shed,Accident,Yes,Chemical burn from solvent exposure
Morgan Hughes,Dakota Payne,18 June 2024,05:03,Training & Development,Exposure to toxic fumes led to concussion.,IT Server Room,Accident,Yes,Fractured ankle due to fall from scaffolding
Reese Graham,Avery Robinson,19 May 2025,11:25,Procurement,"Worker fell from ship deck while repairing the hull, resulting in burns.",Dockyard North,Accident,Yes,Burn from hot welding equipment
Kai Johnson,Kai Johnson,07 September 2024,09:47,Communications,"grinder malfunction caused electrical fire, injuring two workers.",Tool Crib,Accident,Yes,Fractured ankle due to fall from scaffolding
Dakota Murphy,Elliot Lewis,08 July 2024,08:31,Health & Safety,Exposure to asbestos led to burns.,Dockyard South,Accident,Yes,Smoke inhalation from fire in electrical bay
Quinn Graham,Charlie Allen,14 August 2024,07:25,Facilities,"Worker fell from ladder while painting, resulting in a fractured leg.",Warehouse A,Accident,Yes,Eye irritation from chemical fumes
Kai Foster,Dakota Bailey,15 March 2025,10:11,IT,"forklift malfunction caused a fuel leak, injuring two workers.",Reception Area,Accident,Yes,Fractured wrist from fall on wet surface
Morgan Allen,Peyton Ward,14 August 2024,07:31,HR,Exposure to toxic fumes led to concussion.,Fuel Depot,Accident,Yes,Electric shock from faulty wiring
Sawyer Walker,Jamie Sullivan,16 October 2024,05:42,Legal,Exposure to asbestos led to burns.,Fleet Garage,Accident,Yes,Trip hazard fall resulting in bruising
Dakota Payne,Taylor Lewis,31 May 2024,15:44,Health & Safety,Exposure to toxic fumes led to a fractured leg.,Reception Area,Accident,Yes,Laceration from sharp metal panel
Sydney Johnson,Charlie Clark,19 March 2025,14:21,Environmental Services,"grinder malfunction caused a fuel leak, injuring a contractor.",Office - Admin Block,Accident,Yes,Smoke inhalation from fire in electrical bay
Sydney Holmes,Cameron Sullivan,06 January 2025,12:34,Procurement,"crane malfunction caused a steel beam to drop, injuring two workers.",Fleet Garage,Accident,Yes,Heat exhaustion from prolonged outdoor work
Kai Fisher,Dakota Davis,10 October 2024,16:09,Warehouse,"crane malfunction caused a steel beam to drop, injuring the operator.",IT Server Room,Accident,Yes,Minor cuts and bruises
Spencer Robinson,Taylor Fisher,25 December 2024,02:20,Operations,"Worker fell from ladder while repairing the hull, resulting in concussion.",Shipyard Pier,Accident,Yes,Back strain from improper lifting
Riley Bennett,Peyton West,20 March 2024,00:37,Environmental Services,"forklift malfunction caused a fuel leak, injuring a contractor.",Paint Shop,Accident,Yes,Severe abrasion from slip on deck
Charlie Lewis,Jamie Sullivan,17 September 2024,00:49,Ship Maintenance,"grinder malfunction caused electrical fire, injuring the operator.",Warehouse A,Accident,Yes,Burn from hot welding equipment
Jesse Pearson,Alex Smith,19 May 2024,09:57,Quality Assurance,Exposure to high-voltage wiring led to a fractured leg.,Maintenance Shed,Accident,Yes,Electric shock from faulty wiring
Harper Allen,Finley Walker,15 July 2024,01:42,Ship Maintenance,"Worker fell from scaffolding while painting, resulting in a fractured leg.",Engineering Workshop,Accident,Yes,Back strain from improper lifting
Taylor Murray,Finley Allen,31 January 2025,15:30,Health & Safety,"crane malfunction caused electrical fire, injuring two workers.",Training Room,Accident,Yes,Laceration from sharp metal panel
Spencer Sullivan,Morgan Graham,28 March 2025,11:51,Environmental Services,Exposure to high-voltage wiring led to concussion.,Office - Admin Block,Accident,Yes,Severe abrasion from slip on deck
Peyton Lewis,Elliot Sullivan,06 March 2024,17:21,Fleet Management,"grinder malfunction caused electrical fire, injuring a contractor.",Main Gate Security,Accident,Yes,Back strain from improper lifting
Sawyer Cooper,Quinn Kennedy,12 June 2024,18:22,Engineering,Exposure to toxic fumes led to a fractured leg.,Main Gate Security,Accident,Yes,Chemical burn from solvent exposure
Taylor Ward,Drew Parker,10 February 2024,05:22,Fleet Management,"Worker fell from ship deck while repairing the hull, resulting in concussion.",Office - Admin Block,Accident,Yes,Back strain from improper lifting
